kind,section,rva,va,size,base,name
PUB,.text,0x00012d70,0x00412d70,800,G_Debris_GetNumActive,?G_Debris_GetNumActive@@YAHXZ
PUB,.text,0x00013090,0x00413090,80,G_Entity::G_Entity,??0G_Entity@@QAE@XZ
PUB,.text,0x000130e0,0x004130e0,32,G_Entity::~G_Entity,??1G_Entity@@QAE@XZ
PUB,.text,0x00013100,0x00413100,560,G_Entity::Reset,?Reset@G_Entity@@QAEXXZ
PUB,.text,0x00013330,0x00413330,464,G_Entity::SetUnitRef,?SetUnitRef@G_Entity@@QAEXPAUG_UnitDef@@@Z
PUB,.text,0x00013500,0x00413500,32,G_Entity::GetCurrentStatePtr,?GetCurrentStatePtr@G_Entity@@QAEPAUG_UnitDef_FileData_State@@XZ
PUB,.text,0x00013520,0x00413520,128,G_Entity::ChangeToWeaponPowerupReleaseState,?ChangeToWeaponPowerupReleaseState@G_Entity@@QAEXH@Z
PUB,.text,0x000135a0,0x004135a0,2032,G_Entity::ChangeState,?ChangeState@G_Entity@@QAEX_NPBDHPA_N2@Z
PUB,.text,0x00013d90,0x00413d90,1008,G_Entity::Hit,?Hit@G_Entity@@QAEMMW4G_Game_PlayerNum@@H@Z
PUB,.text,0x00014180,0x00414180,784,G_Entity::DoMovementAI,?DoMovementAI@G_Entity@@QAEXHPA_N0@Z
PUB,.text,0x00014490,0x00414490,1120,G_Entity::ProcessRules,?ProcessRules@G_Entity@@QAEXHPA_N0@Z
PUB,.text,0x000148f0,0x004148f0,496,G_Entity::Animate,?Animate@G_Entity@@QAEXH@Z
PUB,.text,0x00014ae0,0x00414ae0,1456,G_Entity::SpawnControl,?SpawnControl@G_Entity@@QAEXH@Z
PUB,.text,0x00015090,0x00415090,144,G_Entity::GetAngleFromSpriteInfo,?GetAngleFromSpriteInfo@G_Entity@@QAEHXZ
PUB,.text,0x00015120,0x00415120,224,G_Entity::GetFrameForAngle,?GetFrameForAngle@G_Entity@@QAEHH@Z
PUB,.text,0x00015200,0x00415200,1872,G_Entity::Destroy,?Destroy@G_Entity@@QAEXW4G_Game_PlayerNum@@H@Z
PUB,.text,0x00015950,0x00415950,832,G_Entity::CanSpawnOnMedia,?CanSpawnOnMedia@G_Entity@@QAE_NXZ
PUB,.text,0x00015c90,0x00415c90,144,G_Entity::IsWithinGameArea,?IsWithinGameArea@G_Entity@@QAE_NXZ
PUB,.text,0x00015d20,0x00415d20,256,G_Entity::Priv_MoveToTargetLoc,?Priv_MoveToTargetLoc@G_Entity@@AAEXXZ
PUB,.text,0x00015e20,0x00415e20,416,G_Entity::Priv_ConstrainInGameArea,?Priv_ConstrainInGameArea@G_Entity@@AAEXXZ
PUB,.text,0x00015fc0,0x00415fc0,352,G_Entity::Priv_DoCyclicMotion,?Priv_DoCyclicMotion@G_Entity@@AAEXXZ
PUB,.text,0x00016120,0x00416120,320,G_Entity::Priv_DoRotationAsRequired,?Priv_DoRotationAsRequired@G_Entity@@AAE_NH@Z
PUB,.text,0x00016260,0x00416260,704,G_Entity::Priv_RotateToTargetLoc,?Priv_RotateToTargetLoc@G_Entity@@AAE_NH@Z
PUB,.text,0x00016520,0x00416520,1328,G_Entity::Priv_Flee,?Priv_Flee@G_Entity@@AAEXW4G_UnitDef_FleeID@@@Z
PUB,.text,0x00016a50,0x00416a50,448,G_Entity::Priv_AdjustToRequiredVelocity,?Priv_AdjustToRequiredVelocity@G_Entity@@AAEXXZ
PUB,.text,0x00016c10,0x00416c10,224,G_Entity::Priv_HoldToTarget,?Priv_HoldToTarget@G_Entity@@AAEXPAUU_Utils_Vector@@@Z
PUB,.text,0x00016cf0,0x00416cf0,128,G_Entity::Priv_ReverseFromTarget,?Priv_ReverseFromTarget@G_Entity@@AAEXPAUU_Utils_Vector@@M@Z
PUB,.text,0x00016d70,0x00416d70,352,G_Entity::Priv_CheckSpawningAbilityAtStateChange,?Priv_CheckSpawningAbilityAtStateChange@G_Entity@@AAEXH@Z
PUB,.text,0x00016ed0,0x00416ed0,96,G_Entity::Priv_DeleteSpawnInfoList,?Priv_DeleteSpawnInfoList@G_Entity@@AAEXPAVU_LinkedList@@@Z
PUB,.text,0x00016f30,0x00416f30,128,G_Entity::Priv_ChangeStateOnShieldDepletion,?Priv_ChangeStateOnShieldDepletion@G_Entity@@AAEXH@Z
PUB,.text,0x00016fb0,0x00416fb0,864,G_Entity::Priv_CheckWithinRangeOfPlayers,?Priv_CheckWithinRangeOfPlayers@G_Entity@@AAE_NHPAUU_Utils_Vector@@PAW4G_Game_PlayerNum@@@Z
PUB,.text,0x00017310,0x00417310,784,G_EG_Init,?G_EG_Init@@YAXXZ
PUB,.text,0x00017620,0x00417620,112,G_EG_ShutDown,?G_EG_ShutDown@@YAXXZ
PUB,.text,0x00017690,0x00417690,624,G_EG_ResetAtLevelStart,?G_EG_ResetAtLevelStart@@YAXPAVU_LinkedList@@@Z
PUB,.text,0x00017900,0x00417900,400,G_EG_CheckForMapSpawnsAtRow,?G_EG_CheckForMapSpawnsAtRow@@YAXH@Z
PUB,.text,0x00017a90,0x00417a90,1136,G_EG_RequestSpawn,?G_EG_RequestSpawn@@YAXPAUG_EG_SpawnRequest@@PAUG_Entity_Ref@@PAUG_UnitDef@@@Z
PUB,.text,0x00017f00,0x00417f00,800,G_EG_CacheOwnerLocOffsetsAndAngles,?G_EG_CacheOwnerLocOffsetsAndAngles@@YAXPAVG_Entity@@@Z
PUB,.text,0x00018220,0x00418220,3648,G_EG_Process,?G_EG_Process@@YA_NH@Z
PUB,.text,0x00019060,0x00419060,2160,G_EG_BuildDrawList,?G_EG_BuildDrawList@@YAXXZ
PUB,.text,0x000198d0,0x004198d0,320,G_EG_DisposePlayersChildren,?G_EG_DisposePlayersChildren@@YAXW4G_Game_PlayerNum@@@Z
PUB,.text,0x00019a10,0x00419a10,224,G_EG_ChangeStateOnWeaponPowerupReleaseByUniqueEntityNum,?G_EG_ChangeStateOnWeaponPowerupReleaseByUniqueEntityNum@@YAXHH@Z
PUB,.text,0x00019af0,0x00419af0,256,G_EG_DisposeByUniqueEntityNum,?G_EG_DisposeByUniqueEntityNum@@YAXH@Z
PUB,.text,0x00019bf0,0x00419bf0,384,G_EG_RuleCondition_IsEntityTrackingPlayer,?G_EG_RuleCondition_IsEntityTrackingPlayer@@YA_NJPAUU_Utils_Vector@@H@Z
PUB,.text,0x00019d70,0x00419d70,384,G_EG_RuleCondition_IsEntityActive,?G_EG_RuleCondition_IsEntityActive@@YA_NJPAUU_Utils_Vector@@H@Z
PUB,.text,0x00019ef0,0x00419ef0,240,G_EG_RuleCondition_GetNumEntitiesActive_ByEntityType,?G_EG_RuleCondition_GetNumEntitiesActive_ByEntityType@@YAHJ@Z
PUB,.text,0x00019fe0,0x00419fe0,224,G_EG_RuleCondition_IsAnyDestroyableAirEntityActive,?G_EG_RuleCondition_IsAnyDestroyableAirEntityActive@@YA_NXZ
PUB,.text,0x0001a0c0,0x0041a0c0,224,G_EG_RuleCondition_IsAnyDestroyableGroundEntityActive,?G_EG_RuleCondition_IsAnyDestroyableGroundEntityActive@@YA_NXZ
PUB,.text,0x0001a1a0,0x0041a1a0,128,G_EG_GetNumActive,?G_EG_GetNumActive@@YAHXZ
